epoch_ms,x,y,z,ox,oy,oz,ow
1781207592029,3.3597614765167236,1.350098967552185,0.5707587599754333,9.888409113045782e-05,0.0014992788201197982,0.392578125,0.9197174906730652
1781207592039,3.361029863357544,1.3486217260360718,0.5718367695808411,-0.0037295930087566376,0.005745329428464174,0.39979565143585205,0.9165787696838379
1781207592049,3.3612821102142334,1.3490513563156128,0.5718045234680176,-0.004316128324717283,0.005916969384998083,0.4003618657588959,0.916327953338623
1781207592079,3.3611066341400146,1.3487451076507568,0.5718167424201965,-0.0038146048318594694,0.005706906318664551,0.399349182844162,0.91677325963974
1781207592079,3.361267566680908,1.3490643501281738,0.5717967748641968,-0.004192819353193045,0.0057363626547157764,0.4003140330314636,0.9163504838943481
1781207592160,3.3611648082733154,1.3490631580352783,0.5716444849967957,-0.0036029599141329527,0.005199459847062826,0.3987164795398712,0.9170524477958679
1781207592160,3.3612871170043945,1.3492151498794556,0.5717509388923645,-0.004269287455826998,0.00552336685359478,0.399079829454422,0.9168896079063416
1781207592160,3.3610246181488037,1.3486342430114746,0.5718377828598022,-0.003764310386031866,0.005856669042259455,0.3997650146484375,0.916591227054596
1781207592160,3.3611462116241455,1.348903775215149,0.5718766450881958,-0.004543588496744633,0.005760279484093189,0.40027886629104614,0.9163640737533569
1781207592160,3.3610007762908936,1.3486411571502686,0.571843683719635,-0.003757626749575138,0.005799868144094944,0.3997673988342285,0.9165905714035034
1781207592160,3.361250877380371,1.3490471839904785,0.5718193054199219,-0.004288800060749054,0.0057962327264249325,0.40030092000961304,0.9163554310798645
1781207592160,3.36099910736084,1.3486238718032837,0.5718671083450317,-0.003699646098539233,0.005787976551800966,0.39979925751686096,0.9165770411491394
1781207592160,3.3612608909606934,1.3490463495254517,0.5718047618865967,-0.004196983762085438,0.005907767452299595,0.4003446400165558,0.9163359999656677
1781207592160,3.361015558242798,1.3486320972442627,0.5718452334403992,-0.003768720431253314,0.005855690222233534,0.3997758626937866,0.9165865778923035
1781207592160,3.3591907024383545,1.3496639728546143,0.5709155797958374,8.224937482737005e-05,0.002342897467315197,0.3931465148925781,0.919472873210907
1781207592170,3.36090087890625,1.3485299348831177,0.5718444585800171,-0.0035311486572027206,0.0055928598158061504,0.39976659417152405,0.916593074798584
1781207592180,3.3594627380371094,1.34987473487854,0.5708838701248169,0.00010063308582175523,0.002508097793906927,0.3932015597820282,0.919448971748352
1781207592190,3.361001491546631,1.348620891571045,0.571853756904602,-0.0037076894659549,0.005749796982854605,0.39980101585388184,0.9165763854980469
1781207592200,3.359753131866455,1.350100040435791,0.5708048939704895,0.0001912148727569729,0.0016552706947550178,0.39259350299835205,0.919710636138916
1781207592200,3.3608899116516113,1.348530888557434,0.5718715786933899,-0.003519398858770728,0.005602573044598103,0.399763822555542,0.916594386100769
1781207592210,3.3611462116241455,1.348892331123352,0.5718788504600525,-0.004493591375648975,0.005768089089542627,0.40024441480636597,0.9163792729377747
1781207592220,3.36090350151062,1.3485182523727417,0.5718470811843872,-0.00354208261705935,0.005574559792876244,0.3997698128223419,0.9165918231010437
1781207592230,3.36128568649292,1.34922194480896,0.5717543363571167,-0.004433167167007923,0.005459869746118784,0.399060994386673,0.9168975353240967
1781207592240,3.361006021499634,1.3485389947891235,0.5718527436256409,-0.0036466203164309263,0.005583229009062052,0.39972904324531555,0.9166091084480286
1781207592250,3.3594725131988525,1.3498615026474,0.5708825588226318,1.6305239114444703e-05,0.0025313259102404118,0.39327436685562134,0.9194177389144897
1781207592250,3.360992670059204,1.3485519886016846,0.5718626379966736,-0.00358179840259254,0.005469570402055979,0.399679958820343,0.9166314601898193
1781207592260,3.3598031997680664,1.3500962257385254,0.5708141326904297,0.0002058899262920022,0.0017107183812186122,0.39276519417762756,0.919637143611908
1781207592270,3.360891819000244,1.3485275506973267,0.5718688368797302,-0.0036183157935738564,0.0056751989759504795,0.39975759387016296,0.9165962338447571
1781207592280,3.3592355251312256,1.3496896028518677,0.5709084272384644,0.00010213297355221584,0.0021628192625939846,0.3933364152908325,0.9193921089172363
1781207592290,3.361114978790283,1.3487038612365723,0.5718110203742981,-0.0038887327536940575,0.005790170282125473,0.39946943521499634,0.9167200326919556
1781207592300,3.359503746032715,1.349860429763794,0.5708613395690918,1.2733046787616331e-05,0.0024632709100842476,0.39340338110923767,0.9193627238273621
1781207592300,3.360896110534668,1.3485223054885864,0.5718565583229065,-0.003536410629749298,0.005607394967228174,0.39977341890335083,0.9165900349617004
1781207592310,3.3592031002044678,1.3496875762939453,0.570920467376709,0.00016826082719489932,0.0022546928375959396,0.39326444268226624,0.9194226264953613
1781207592320,3.361078977584839,1.3487240076065063,0.5718483328819275,-0.003809164511039853,0.005745299160480499,0.3993982970714569,0.9167516827583313
1781207592330,3.361246347427368,1.3492326736450195,0.5717686414718628,-0.004440330900251865,0.005471733398735523,0.39907106757164,0.9168930053710938
1781207592340,3.3610939979553223,1.348938226699829,0.5716773867607117,-0.0034751002676784992,0.0053997035138309,0.39946821331977844,0.9167246222496033
1781207592350,3.3611209392547607,1.3486342430114746,0.5721816420555115,-0.005915103945881128,0.006485083140432835,0.4004381597042084,0.9162818789482117
1781207592350,3.3609113693237305,1.348523497581482,0.5718216896057129,-0.0035334033891558647,0.005607438739389181,0.39977550506591797,0.916589081287384
1781207592360,3.3612115383148193,1.3490806818008423,0.5717984437942505,-0.00436739157885313,0.005399518180638552,0.3993314802646637,0.916780412197113
1781207592370,3.3611509799957275,1.349073886871338,0.5716727375984192,-0.0035017626360058784,0.005230551585555077,0.3986800014972687,0.9170685410499573
1781207592380,3.3611135482788086,1.3489038944244385,0.571914792060852,-0.0044744922779500484,0.005759086459875107,0.4002581238746643,0.9163734316825867
1781207592390,3.3610904216766357,1.348702073097229,0.5718298554420471,-0.003850117325782776,0.0057790521532297134,0.3994835615158081,0.9167141318321228
1781207592400,3.3611531257629395,1.3489021062850952,0.5718686580657959,-0.004434468690305948,0.005808006506413221,0.4003255367279053,0.9163438677787781
1781207592400,3.3609108924865723,1.3485208749771118,0.5718347430229187,-0.003552608657628298,0.005573035217821598,0.39977872371673584,0.9165878891944885
1781207592410,3.3595080375671387,1.349863052368164,0.5708518028259277,0.0001991591416299343,0.0026486909482628107,0.39338219165802,0.9193711876869202
1781207592420,3.360901355743408,1.3485016822814941,0.571812629699707,-0.0038356948643922806,0.005951375234872103,0.3990287780761719,0.9169110655784607
1781207592430,3.3597586154937744,1.3491367101669312,0.5714403390884399,-0.0025474787689745426,0.0037424860056489706,0.39361372590065,0.9192647933959961
1781207592440,3.3609070777893066,1.3484768867492676,0.5718302726745605,-0.0038400478661060333,0.005923588760197163,0.39910537004470825,0.9168779253959656
1781207592450,3.3606350421905518,1.348435878753662,0.5721122622489929,-0.005423725116997957,0.006424917373806238,0.3989018499851227,0.9169550538063049
1781207592450,3.3607232570648193,1.348358154296875,0.571846604347229,-0.003593785921111703,0.005630721338093281,0.39926400780677795,0.9168116450309753
1781207592510,3.359912395477295,1.3494371175765991,0.5712935924530029,-0.002186480676755309,0.0035053244791924953,0.39332568645477295,0.9193899035453796
1781207592510,3.3610661029815674,1.3504177331924438,0.5705556273460388,0.001755084958858788,-0.00327753066085279,0.39668822288513184,0.917945921421051
1781207592510,3.3608992099761963,1.3486244678497314,0.5708004832267761,0.0038919930811971426,0.0033238278701901436,0.39913666248321533,0.9168772101402283
1781207592510,3.3609466552734375,1.3486603498458862,0.5720876455307007,-0.005430134478956461,0.006283653900027275,0.3999794125556946,0.9164865016937256
1781207592510,3.3590762615203857,1.349611759185791,0.5710853934288025,-0.0005344905657693744,0.004260790999978781,0.39150044322013855,0.920167863368988
1781207592510,3.3592605590820312,1.349768042564392,0.5710824728012085,-0.00040525151416659355,0.004544281400740147,0.39173904061317444,0.9200651049613953
1781207592510,3.359982490539551,1.350050926208496,0.5708774328231812,0.0006004809401929379,0.002682238118723035,0.3945904076099396,0.9188529849052429
1781207592520,3.3599841594696045,1.35003662109375,0.5708895921707153,0.0005967611214146018,0.0027067717164754868,0.39460286498069763,0.9188476204872131
1781207592530,3.3601648807525635,1.3502304553985596,0.5705946683883667,0.0007632745546288788,-0.0004127291322220117,0.39415496587753296,0.9190436601638794
1781207592540,3.359971761703491,1.3499947786331177,0.5707712769508362,0.0009183978545479476,0.0015134284039959311,0.39453837275505066,0.9188778400421143
1781207592550,3.360341787338257,1.3490991592407227,0.5712320804595947,-0.0005486590671353042,0.004563440103083849,0.3981863260269165,0.9172930121421814
1781207592550,3.3603320121765137,1.3490973711013794,0.5712619423866272,-0.0004461435310076922,0.004500105977058411,0.39826980233192444,0.9172572493553162
1781207592560,3.360403537750244,1.349513053894043,0.5711173415184021,-9.06827553990297e-05,0.0035858419723808765,0.3964816927909851,0.918035626411438
