1.30,,1781481370795
1.80,,1781481370796
0.70,,1781481370796
-0.60,,1781481370796
-0.90,,1781481370796
-0.70,,1781481370797
0.00,,1781481370797
0.20,,1781481370797
-0.20,,1781481370797
-0.70,,1781481370797
-0.60,,1781481370797
-0.40,,1781481370797
-0.60,,1781481370797
-0.20,,1781481370797
-0.20,,1781481370798
0.00,,1781481370798
-0.20,,1781481370798
0.00,,1781481370798
-0.40,,1781481370798
0.20,,1781481370798
-0.20,,1781481370798
0.00,,1781481370798
0.00,,1781481370798
0.00,,1781481370799
0.00,,1781481370799
0.20,,1781481370799
0.00,,1781481370799
0.00,,1781481370799
0.20,,1781481370799
0.00,,1781481370799
0.20,,1781481370799
0.20,,1781481370799
0.00,,1781481370799
-0.20,,1781481370799
0.00,,1781481370799
0.40,,1781481370800
0.00,,1781481370800
-0.20,,1781481370800
0.20,,1781481370800
0.00,,1781481370800
0.00,,1781481370800
0.20,,1781481370800
0.00,,1781481370800
0.00,,1781481370800
-0.20,,1781481370800
-0.20,,1781481370800
0.00,,1781481370800
0.00,,1781481370800
0.00,,1781481370800
-0.20,,1781481370800
0.00,,1781481370802
0.00,,1781481370813
0.20,,1781481370824
-0.40,,1781481370836
-0.20,,1781481370847
0.20,,1781481370858
0.00,,1781481370870
0.00,,1781481370881
-0.20,,1781481370892
0.00,,1781481370904
0.00,,1781481370915
0.00,,1781481370926
-0.20,,1781481370937
0.00,,1781481370949
-0.20,,1781481370960
-0.20,,1781481370972
-0.20,,1781481370983
0.00,,1781481370994
0.20,,1781481371006
-0.40,,1781481371017
0.00,,1781481371028
-0.20,,1781481371039
0.00,,1781481371051
-0.20,,1781481371062
0.00,,1781481371074
0.00,,1781481371085
0.00,,1781481371096
-0.20,,1781481371107
0.20,,1781481371119
0.20,,1781481371130
0.00,,1781481371141
0.00,,1781481371153
0.20,,1781481371164
0.00,,1781481371175
0.20,,1781481371187
-0.20,,1781481371198
0.00,,1781481371209
0.00,,1781481371221
0.00,,1781481371232
0.00,,1781481371243
-0.20,,1781481371255
-0.20,,1781481371266
-0.20,,1781481371277
0.20,,1781481371289
-0.20,,1781481371300
0.00,,1781481371311
0.00,,1781481371323
0.20,,1781481371334
0.00,,1781481371345
0.20,,1781481371356
0.20,,1781481371368
0.00,,1781481371379
0.00,,1781481371390
0.00,,1781481371402
0.00,,1781481371413
0.20,,1781481371424
-0.20,,1781481371436
-0.20,,1781481371447
0.20,,1781481371459
-0.20,,1781481371470
0.00,,1781481371481
0.00,,1781481371492
0.00,,1781481371504
0.00,,1781481371515
-0.20,,1781481371527
0.00,,1781481371538
0.00,,1781481371549
0.00,,1781481371561
0.20,,1781481371572
0.00,,1781481371583
-0.20,,1781481371595
-0.20,,1781481371606
0.00,,1781481371617
-0.20,,1781481371628
0.00,,1781481371640
0.00,,1781481371651
0.00,,1781481371662
0.00,,1781481371674
0.00,,1781481371685
0.00,,1781481371696
-0.20,,1781481371708
0.00,,1781481371719
0.00,,1781481371730
0.20,,1781481371741
0.20,,1781481371753
0.00,,1781481371764
0.20,,1781481371775
0.00,,1781481371787
0.00,,1781481371798
0.00,,1781481371809
0.40,,1781481371821
1.80,,1781481371832
2.20,,1781481371843
1.70,,1781481371855
0.70,,1781481371866
0.20,,1781481371877
0.40,,1781481371889
0.60,,1781481371900
0.00,,1781481371912
-0.20,,1781481371923
-0.20,,1781481371934
-0.40,,1781481371945
0.00,,1781481371957
-0.20,,1781481371968
-0.40,,1781481371979
-0.20,,1781481371991
-0.40,,1781481372002
0.00,,1781481372013
-0.20,,1781481372025
0.00,,1781481372036
0.00,,1781481372047
0.00,,1781481372059
0.00,,1781481372070
0.40,,1781481372081
0.20,,1781481372093
-0.60,,1781481372104
-0.70,,1781481372116
0.70,,1781481372127
-0.90,,1781481372138
-2.40,,1781481372149
-1.50,,1781481372161
-0.20,,1781481372172
0.60,,1781481372184
0.60,,1781481372195
0.00,,1781481372206
-0.20,,1781481372217
-0.40,,1781481372229
-0.40,,1781481372240
0.20,,1781481372252
0.20,,1781481372263
-0.20,,1781481372274
-0.90,,1781481372285
-0.90,,1781481372297
284.10,,1781481372308
1529.50,,1781481372320
1212.80,,1781481372332
1307.60,,1781481372343
834.50,,1781481372355
218.30,,1781481372366
135.70,,1781481372377
320.10,,1781481372389
281.20,,1781481372400
307.30,,1781481372412
328.90,,1781481372423
284.90,,1781481372435
280.80,,1781481372446
319.50,,1781481372457
325.00,,1781481372469
